query,title,source,published,link
"""Reallabor"" Karlsruhe","„Wir arbeiten hart daran, dass wir überflüssig werden“ - Stifterverband",Stifterverband,"Thu, 03 Sep 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMiyAFBVV95cUxOaElYRzV6cVhYUldWaGNuRlhxcVRqNzJrbFc4YUZ2VGJnaklUaTJ0SVpZZ0VSN3ZzV2JYRzVUeGxaUnA5N09WRi1RNWhXR1hWeEFsT25fSEQ2VDVNdU0xcGszbjFVUUsxaXE5QW1DcmpERlN2Z1N1WjM3RFBMZ0RSSWxKa0wtLXZpTGp4czVreXQ3dENfOFdPeHUySllfWmJSWjc1Ni1weTdCUk9EemNyRnBhNzlVeWw5NzZYZk1KOTAtZEl3MG5jWQ?oc=5
"""Reallabor"" Karlsruhe","Projekt ""City-Transformation"" startet - Stadt Karlsruhe",Stadt Karlsruhe,"Fri, 14 Oct 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMimgFBVV95cUxPS3o0M0N5MVBpN2xGMVFmRUZkdlFLdVRYOE1iM2cyQzFhLVBWQ0VHNkpjUmd5c2dPdndYbFpvcjA0V3ZmWmlIaVpGb0JqaktoM0lFZTI0UjJQeEtNS2FUUGtHaEYxdHd3b1dBNW1sdldxU0twQThyNFVpUUN5MVZUU0dHSXVIM0szOWJ1VURaOUdLNmlSSkdacmJ3?oc=5
"""Reallabor"" Karlsruhe",Was für die nördliche Karlstraße in Karlsruhe als Fußgängerzone spricht – und was dagegen - Badische Neueste Nachrichten,Badische Neueste Nachrichten,"Thu, 22 Jun 2023 07:00:00 GMT",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNMlFXcS1CRUpQbWVwNW9xTllYOHQydEcyenFXbVN6eXZSalBzRTRtZ2VreUxYb213anJ2dWp1dXZFWThtZ3BqQVVWRlo1VzMyaHlkcGNHd1VUOGtZemF5LW1LejF5dW14a3FXWHFzZlRMMDV5V3Z4b1pUdTBlb1Y0WDlFcVE5R0JUM3ptNkV2djV4ZnJOUXVod2JCNUtZdzlRbWFRejBrYzVwOEdTRTVSZU5IS0YtNlFqZDFRM2Nzb0ZXTXItdEF6SEtCXzNON1U4VENYcEZKQUFyTndN?oc=5
"""Reallabor"" Karlsruhe",Schulterschluss zwischen Forschung und Praxis - Helmholtz-Gemeinschaft Deutscher Forschungszentren,Helmholtz-Gemeinschaft Deutscher Forschungszentren,"Thu, 27 May 2021 07:00:00 GMT",https://news.google.com/rss/articles/CBMikgFBVV95cUxQN19RSlhTV2N1dHNoRU9RVFB4TlA3aDljNHlodXN1RDQtQnJiYW1lNVVPTmVSOV9nVl9KV01CZUpyTFhBUzN1TU45MnNKSFA2dEx6V0c2b1JfVVRfQ3RKQkJRc0FNV0FnTG9JNW4tcGR1ZHNoeEZUa3E2V2pIWXg1QkdsaEtfbFhMNVl0TGRMRUl0dw?oc=5
"""Reallabor"" Karlsruhe",Reallabor soll Alternativen aufzeigen: Kulturprogramm im Passagehof - Wochenblatt Reporter,Wochenblatt Reporter,"Fri, 10 Jun 2022 07:00:00 GMT",https://news.google.com/rss/articles/CBMilwFBVV95cUxOTUJ1OUJfNGE5TGZNNEhnUlk2STZZQi1vMWZpaGtseVoxQ1BsazNLYzRaZkdEbFlLT1dsRTRDSktXZmZWbko5QXhaeWh2aktJaXZHZWVXT1haMC1oTjVDbXNqREEwU28xTFoxT3YzTzBqQVoyaDJmOGlrZnhjRU5DeFhLX0hGd2RlUlhkZGM5ZTFaaTFkbVpr?oc=5
"""Reallabor"" Karlsruhe",Neues Institut für Nachhaltige Mobilität an Hochschule Karlsruhe - baden-wuerttemberg.de,baden-wuerttemberg.de,"Tue, 27 Oct 2020 07:00:00 GMT",https://news.google.com/rss/articles/CBMi2AFBVV95cUxONVdtS1E0emcwNXFtVXFWRDJGSmkySDhRd0FhY0pna2VzZU1MVTVRTTBLNFlCYl9oZDVGNU5mN002eUk1ZzR6NmU2a19jZ25uQlVzV2JKd3VvaEFZb1pqaDBpTzAyOG5INlRRS3hGVTZVaE05NjUzQ2J2RVhCX19QX2ZkR3RsMG5UVC02UkJ6TTlIYnhjYlJJZkRjcVlfS0RHMTJ5SE9NSkltODI0dy0tcDN3YjBYRE1EVXNLV3RVb3M3S2QxSVdoM1hQWmMxcjJRYnlpOTNYbnk?oc=5
"""Reallabor"" Karlsruhe",GO Karlsruhe in weiterem Wettbewerb ausgezeichnet - idw - Informationsdienst Wissenschaft,idw - Informationsdienst Wissenschaft,"Mon, 23 Sep 2019 07:00:00 GMT",https://news.google.com/rss/articles/CBMimgFBVV95cUxPZkFZd201cnZ1LWJQRW0zVzl2V1lUdnl5VjFDcTFxRUNFM3FZeVpZWlh0U2dFbFNlRExsc2thT2xOb09UdjlIVDNrNEdIQlJGcEVwc243S1NQMjdzZXBhdG5GY2pVTkc3dW8tMVEzNkNScmFMOFh4bFVta1FaU2l4czZJemZWenozUzV3TUMxZVRFTjRBUFJndjN3?oc=5
"""Reallabor"" Karlsruhe",Anwohner der Karlsruher Weststadt kritisieren Reallabor und fürchten Verzögerungen bei Rettungsdienst - Badische Neueste Nachrichten,Badische Neueste Nachrichten,"Fri, 23 Aug 2024 07:00:00 GMT",https://news.google.com/rss/articles/CBMi3AFBVV95cUxNc2xpUFRnX1llZjZ2SWc5NFNQSjZCT3c2NTM0elE0V181WTBqN2dBUkJfWDdteml5VkZXT1lmOXI5d2NXTmZvYURVZTItSkFGVWpqazNORW11SkRKVVNxNEdoTU9KUDB3a2FLdEpGYzl2eXVsVnBXWUp0UmNPLXpDajJ0YkJ4WkJaa25wVEJDMGhYM1RLYXpmdjJuS2pzZXdoZmtkQ3BZa01wZEExYzVJY1JxbGtQdmFrekNoMXRMWlc0TnQxNVpNMy1wemlSQTFuTTJzbEllYmV4eUpw?oc=5
"""Reallabor"" Karlsruhe",Erfolgsmodell Reallabor made in Baden-Württemberg - baden-wuerttemberg.de,baden-wuerttemberg.de,"Wed, 23 May 2018 07:00:00 GMT",https://news.google.com/rss/articles/CBMi1gFBVV95cUxQeEpLWE5qZmRPQlZiZ3R1bkFiZG1uRjBSQXhiRUtWVlpEczJsaXJ2b0NUb2NhMWZzUjU0NGl1bFBHMi1ERnNMcGlNSWduRFJOcHlNdmFFOGprcnlqWVVSRkJmdEJ1WUpPOTZQVzZYT1R4RE5BejRnUkpaWkNmMHFQS09MZHF5bVUzRU5GTktBbk93b3R4ekxzZHYtWGt3ckpqQVEwcURqb0pFb1JONmpWUHZIUmZobW9nbWtlelF4d1hEVkNzQkk1LTUwY0lFaDFSMWtkOXBB?oc=5
"""Reallabor"" Karlsruhe",Plateaukissen sollen in Knielingen Verkehr beruhigen - Wochenblatt Reporter,Wochenblatt Reporter,"Wed, 13 Feb 2019 08:00:00 GMT",https://news.google.com/rss/articles/CBMitgFBVV95cUxQcU5oYzY3LXVCRUtUbDRrbjJBR3VXRktTUEpjNjdPNDZONUdrSGtMajlIRTg0M19aa3M3a25wSzZoZi10cG92Q2NFWFY2N0J3dldlUTJRTUhiRGtBdWpKNk91RE9fNlJ0alBHdFdTY2VrWFVjQXNPSmZwTEFTRUZTNXBsUnl6eUZNajJkMkFLdmxJcXd5a0NwQ1ZKTkd1MHhKUUpoQTZjWWhkTnNjcGJleGw5aVVuZw?oc=5
